100586	cappella Di Noia	ref_to	101897 (chiesa Monteoliveto)	3:47d,48,49,52
100587	cappella Di Somma	base		1:501,510
100723	cappella Finaroli	ref_to	100142 (chiesa S. Anna dei Lombardi)	3:68
100724	cappella Fiodo	ref_to	101897 (chiesa Monteoliveto)	3:47d,48,49d,52
100494	cappella Fondaco Corona	base		2:316
102578	cappella Fondaco Visitapoveri	base		2:485,486
102577	cappella Fondaco Visitapoveri al vico Venafro	base		2:69
300899	cappella Fontana	ref_target		1:204n
100813	cappella Gerolomini	base		1:
100992	cappella Grassi	ref_to	101511 (chiesa S. Maria dell'Arco)	2:126
101037	cappella Immacolata	base		1:29,39,40n
101018	cappella Immacolata Concezione di Maria Vergine	base		2:394,401n
101043	cappella Immacolata Concezione e S. Francesco Saverio	ref_to	100976 (chiesa SS. Giuseppe e Cristoforo)	2:6,21
101019	cappella Immacolata Concezione e S. Gioacchino	base		2:279,285
101051	cappella Infermieri	ref_to	101037 (cappella Immacolata)	1:39
101069	cappella Loffredo	base		1:451,460n
101111	cappella Macellai	ref_to	100449 (cappella S. Ciriaco)	2:318,324,326d
101126	cappella Madonna Addolorata al vico Speranzello	base		6:392,393
101127	cappella Madonna Nera	ref_to	100231 (cappella Assunta dei Caraccioli in vico Scassacocchi)	1:387n
101129	cappella Madonna del Buon Consiglio	base		4:525
101133	cappella Madonna del Carmine	ref_to	101976 (chiesa S. Onofrio dei Vecchi)	2:408
101134	cappella Madonna del Rosario	base		3:31
101138	cappella Madonna dell'Arco	ref_to	101508 (cappella S. Maria dell'Arco al Lavinaio)	2:279
101140	cappella Madonna della Pietà	ref_to	102328 (cappella Sansevero)	1:180,192
101142	cappella Madonna delle Grazie	ref_to	100602 (chiesa S. Domenico Maggiore)	1:97
101141	cappella Madonna delle Grazie al vico I Duchesca	base		2:249
101144	cappella Madonna delle Tre Corone	base		6:351
101150	cappella Madre di Dio del Vero Amore	base		10:270,466
301806	cappella Maria della Chiusa	ref_target		5:241
101842	cappella Mater Domini	ref_to	101598 (chiesa S. Maria della Purità a Capodimonte)	5:293
100497	cappella Memoria di Corradino di Svevia	base		2:288,291
101857	cappella Mercanti in S. Giorgio Maggiore	ref_to	301857 (cappella Ave Gratia Plena, in S. Giorgio Maggiore)	2:166,172
101872	cappella Minutolo	base		1:251,253,254,262,264,269,270n; 3:375
101890	cappella Monte dei Poveri	base		1:397,400
101893	cappella Monte di Pietà	base		2:140		N185 (cappella Monte di Pietà) 
101907	cappella Mormando al vico Paparelle	base		2:140
101908	cappella Mormile	ref_to	100160 (chiesa Annunziata)	2:221,226,229
101910	cappella Muscettolo di Spezzano	ref_to	100602 (chiesa S. Domenico Maggiore)	1:97n
101911	cappella Nash	ref_to	101414 (cappella S. Maria del Buon Consiglio)	5:40
101972	cappella Ogni Santo sotto la lamia	base		2:356
101981	cappella Orefice	ref_to	101897 (chiesa Monteoliveto)	3:48,49
101982	cappella Orimini	base		3:153
102019	cappella Pappacoda	base/ref_to	 100931 (cappella S. Giovanni dei Pappacoda)	2:193; 2:47,49,53,58,63n
102024	cappella Passione di nostro Signore Gesù Cristo	ref_to	100628 (chiesa Ecce Homo al Cerriglio)	2:5
102041	cappella Pescolanciano	base		10:56
102056	cappella Piccolomini	ref_to	101897 (chiesa Monteoliveto)	3:44d,45,46,47			Q3657367 (cappella Piccolomini) 	14.250675 40.84489444
102062	cappella Pietatella	ref_to	102328 (cappella Sansevero)	1:194n
102159	cappella Pietà nel fondaco Cittadella	ref_to	101549 (cappella S. Maria della Grazia)	8:10,11,20
102165	cappella Pignatelli	base		1:180,181,189,194,301; 2:85
